symbol,timeframe,market_type,bar_count,start_time,end_time,duplicate_count,bad_ohlc_count,large_gap_count,normal_session_gap_count,abnormal_gap_count,expected_gap_minutes,median_gap_hours,max_gap_hours,median_spread,max_spread,median_spread_bps,p95_spread_bps,max_spread_bps
XAUUSDc,H4,session,8607,2018-06-28 00:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,1196,571,625,240.0,4.0,96.0,0.0,468.0,0.0,0.8210175822899064,1.7775211935219228
BTCUSDc,H4,24x7,17925,2018-02-09 08:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,4,0,4,240.0,4.0,60.0,1741.0,10944.0,5.865283414664659,27.660881384508038,78.1984680573152
