symbol,timeframe,bar_count,start_time,end_time,duplicate_count,bad_ohlc_count,large_gap_count,median_spread,max_spread
XAUUSDc,H4,6865,2022-01-02 20:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,228,0.0,468.0
BTCUSDc,H4,9421,2022-01-01 00:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,0,1800.0,7149.0
