symbol,timeframe,raw_path,processed_path,bar_count,start,end
XAUUSDc,H4,data_2022_xau_btc\raw\mt5\XAUUSDc\H4.csv,data_2022_xau_btc\processed\mt5\H4\XAUUSDc.csv,6865,2022-01-02 20:00:00+00:00,2026-04-20 00:00:00+00:00
BTCUSDc,H4,data_2022_xau_btc\raw\mt5\BTCUSDc\H4.csv,data_2022_xau_btc\processed\mt5\H4\BTCUSDc.csv,9421,2022-01-01 00:00:00+00:00,2026-04-20 00:00:00+00:00
