symbol,timeframe,raw_path,processed_path,bar_count,start,end
XAUUSDc,H4,data_2015_xau_btc\raw\mt5\XAUUSDc\H4.csv,data_2015_xau_btc\processed\mt5\H4\XAUUSDc.csv,8607,2018-06-28 00:00:00+00:00,2026-04-20 00:00:00+00:00
BTCUSDc,H4,data_2015_xau_btc\raw\mt5\BTCUSDc\H4.csv,data_2015_xau_btc\processed\mt5\H4\BTCUSDc.csv,17925,2018-02-09 08:00:00+00:00,2026-04-20 00:00:00+00:00
