time,open,high,low,close,volume,spread,source,symbol,timeframe
2016-04-20 00:00:00+00:00,9.434,9.698,9.314,9.677,256432600.0,0.0,nasdaq,NFLX,D1
2016-04-21 00:00:00+00:00,9.731,9.738,9.478,9.498,198975100.0,0.0,nasdaq,NFLX,D1
2016-04-22 00:00:00+00:00,9.4847,9.669,9.421,9.59,158003100.0,0.0,nasdaq,NFLX,D1
2016-04-25 00:00:00+00:00,9.57,9.5746,9.28,9.356,149727700.0,0.0,nasdaq,NFLX,D1
2016-04-26 00:00:00+00:00,9.35,9.355,9.125,9.243,152727000.0,0.0,nasdaq,NFLX,D1
2016-04-27 00:00:00+00:00,9.218,9.25,9.021,9.104,122047800.0,0.0,nasdaq,NFLX,D1
2016-04-28 00:00:00+00:00,9.15,9.267,9.009,9.028,114574500.0,0.0,nasdaq,NFLX,D1
2016-04-29 00:00:00+00:00,9.05,9.056,8.821,9.003,139657300.0,0.0,nasdaq,NFLX,D1
2016-05-02 00:00:00+00:00,9.041,9.322,8.989,9.311,125320800.0,0.0,nasdaq,NFLX,D1
2016-05-03 00:00:00+00:00,9.208,9.325,9.13,9.154,105856000.0,0.0,nasdaq,NFLX,D1
2016-05-04 00:00:00+00:00,9.1,9.216,9.035,9.079,73780550.0,0.0,nasdaq,NFLX,D1
2016-05-05 00:00:00+00:00,9.091,9.2078,8.925,8.937,103607300.0,0.0,nasdaq,NFLX,D1
2016-05-06 00:00:00+00:00,8.883,9.088,8.811,9.084,104313500.0,0.0,nasdaq,NFLX,D1
2016-05-09 00:00:00+00:00,9.073,9.1828,8.99,9.054,95358740.0,0.0,nasdaq,NFLX,D1
2016-05-10 00:00:00+00:00,9.114,9.325,9.109,9.289,111720900.0,0.0,nasdaq,NFLX,D1
2016-05-11 00:00:00+00:00,9.24,9.259,8.99,9.002,116811500.0,0.0,nasdaq,NFLX,D1
2016-05-12 00:00:00+00:00,9.032,9.041,8.574,8.774,203772100.0,0.0,nasdaq,NFLX,D1
2016-05-13 00:00:00+00:00,8.739,8.859,8.626,8.788,115618100.0,0.0,nasdaq,NFLX,D1
2016-05-16 00:00:00+00:00,8.756,9.0,8.615,8.912,112417700.0,0.0,nasdaq,NFLX,D1
2016-05-17 00:00:00+00:00,8.9,9.087,8.8172,8.863,115643100.0,0.0,nasdaq,NFLX,D1
2016-05-18 00:00:00+00:00,8.825,9.172,8.825,9.05,138936100.0,0.0,nasdaq,NFLX,D1
2016-05-19 00:00:00+00:00,9.016,9.127,8.83,8.955,114468700.0,0.0,nasdaq,NFLX,D1
2016-05-20 00:00:00+00:00,9.008,9.328,8.998,9.249,150358000.0,0.0,nasdaq,NFLX,D1
2016-05-23 00:00:00+00:00,9.298,9.5292,9.285,9.489,139758300.0,0.0,nasdaq,NFLX,D1
2016-05-24 00:00:00+00:00,9.598,9.914,9.575,9.789,212306200.0,0.0,nasdaq,NFLX,D1
2016-05-25 00:00:00+00:00,9.9,10.031,9.83,10.02,151536000.0,0.0,nasdaq,NFLX,D1
2016-05-26 00:00:00+00:00,10.321,10.4,10.138,10.281,178100400.0,0.0,nasdaq,NFLX,D1
2016-05-27 00:00:00+00:00,10.244,10.35,10.144,10.33,90822000.0,0.0,nasdaq,NFLX,D1
2016-05-31 00:00:00+00:00,10.295,10.345,10.213,10.257,87166740.0,0.0,nasdaq,NFLX,D1
2016-06-01 00:00:00+00:00,10.15,10.192,10.016,10.151,83872480.0,0.0,nasdaq,NFLX,D1
2016-06-02 00:00:00+00:00,10.139,10.215,10.077,10.125,79847910.0,0.0,nasdaq,NFLX,D1
2016-06-03 00:00:00+00:00,10.099,10.1,9.853,9.959,92085870.0,0.0,nasdaq,NFLX,D1
2016-06-06 00:00:00+00:00,10.029,10.1071,9.972,10.074,68243140.0,0.0,nasdaq,NFLX,D1
2016-06-07 00:00:00+00:00,10.12,10.163,9.977,9.989,64655750.0,0.0,nasdaq,NFLX,D1
2016-06-08 00:00:00+00:00,10.002,10.028,9.76,9.786,94116350.0,0.0,nasdaq,NFLX,D1
2016-06-09 00:00:00+00:00,9.722,9.8433,9.6664,9.709,89222030.0,0.0,nasdaq,NFLX,D1
2016-06-10 00:00:00+00:00,9.488,9.535,9.328,9.375,128958200.0,0.0,nasdaq,NFLX,D1
2016-06-13 00:00:00+00:00,9.502,9.72,9.362,9.385,134750300.0,0.0,nasdaq,NFLX,D1
2016-06-14 00:00:00+00:00,9.416,9.58,9.327,9.412,94628540.0,0.0,nasdaq,NFLX,D1
2016-06-15 00:00:00+00:00,9.461,9.546,9.35,9.429,76732710.0,0.0,nasdaq,NFLX,D1
2016-06-16 00:00:00+00:00,9.418,9.556,9.3247,9.544,75407020.0,0.0,nasdaq,NFLX,D1
2016-06-17 00:00:00+00:00,9.575,9.577,9.42,9.445,80441770.0,0.0,nasdaq,NFLX,D1
2016-06-20 00:00:00+00:00,9.522,9.588,9.365,9.38,90181430.0,0.0,nasdaq,NFLX,D1
2016-06-21 00:00:00+00:00,9.387,9.388,9.077,9.099,151723400.0,0.0,nasdaq,NFLX,D1
2016-06-22 00:00:00+00:00,9.078,9.198,8.977,9.001,94354080.0,0.0,nasdaq,NFLX,D1
2016-06-23 00:00:00+00:00,9.062,9.168,8.815,9.166,107713800.0,0.0,nasdaq,NFLX,D1
2016-06-24 00:00:00+00:00,8.753,9.049,8.721,8.844,112319800.0,0.0,nasdaq,NFLX,D1
2016-06-27 00:00:00+00:00,8.788,8.8,8.481,8.533,137605800.0,0.0,nasdaq,NFLX,D1
2016-06-28 00:00:00+00:00,8.741,8.888,8.641,8.797,115290900.0,0.0,nasdaq,NFLX,D1
2016-06-29 00:00:00+00:00,8.967,9.197,8.87,9.106,116736300.0,0.0,nasdaq,NFLX,D1
2016-06-30 00:00:00+00:00,9.091,9.172,8.99,9.148,90151910.0,0.0,nasdaq,NFLX,D1
2016-07-01 00:00:00+00:00,9.5,9.7,9.48,9.667,161576500.0,0.0,nasdaq,NFLX,D1
2016-07-05 00:00:00+00:00,9.52,10.127,9.331,9.791,258560500.0,0.0,nasdaq,NFLX,D1
2016-07-06 00:00:00+00:00,9.503,9.6,9.355,9.46,162785800.0,0.0,nasdaq,NFLX,D1
2016-07-07 00:00:00+00:00,9.47,9.538,9.318,9.51,99062830.0,0.0,nasdaq,NFLX,D1
2016-07-08 00:00:00+00:00,9.6,9.741,9.53,9.706,83301580.0,0.0,nasdaq,NFLX,D1
2016-07-11 00:00:00+00:00,9.619,9.6869,9.43,9.467,132505500.0,0.0,nasdaq,NFLX,D1
2016-07-12 00:00:00+00:00,9.507,9.672,9.409,9.597,115939400.0,0.0,nasdaq,NFLX,D1
2016-07-13 00:00:00+00:00,9.626,9.672,9.48,9.643,87637980.0,0.0,nasdaq,NFLX,D1
2016-07-14 00:00:00+00:00,9.7,9.827,9.68,9.802,98681380.0,0.0,nasdaq,NFLX,D1
2016-07-15 00:00:00+00:00,9.852,9.87,9.741,9.839,90044350.0,0.0,nasdaq,NFLX,D1
2016-07-18 00:00:00+00:00,9.843,9.984,9.724,9.881,264667200.0,0.0,nasdaq,NFLX,D1
2016-07-19 00:00:00+00:00,8.543,8.675,8.45,8.584,555846700.0,0.0,nasdaq,NFLX,D1
2016-07-20 00:00:00+00:00,8.667,8.849,8.582,8.791,234842700.0,0.0,nasdaq,NFLX,D1
2016-07-21 00:00:00+00:00,8.83,8.838,8.521,8.599,160656600.0,0.0,nasdaq,NFLX,D1
2016-07-22 00:00:00+00:00,8.648,8.65,8.511,8.589,113549400.0,0.0,nasdaq,NFLX,D1
