symbol,source,timeframe,raw_path,processed_path,bar_count,start,end
XAUUSD_DUKAS,dukascopy,H4,data_external_xau_btc\raw\dukascopy\XAUUSD_DUKAS\H4.csv,data_external_xau_btc\processed\external\H4\XAUUSD_DUKAS.csv,34721,2005-01-02 20:00:00+00:00,2026-04-20 00:00:00+00:00
BTCUSDT_BINANCE,binance,H4,data_external_xau_btc\raw\binance\BTCUSDT_BINANCE\H4.csv,data_external_xau_btc\processed\external\H4\BTCUSDT_BINANCE.csv,18992,2017-08-17 04:00:00+00:00,2026-04-20 00:00:00+00:00
