symbol,timeframe,market_type,bar_count,start_time,end_time,duplicate_count,bad_ohlc_count,large_gap_count,normal_session_gap_count,abnormal_gap_count,expected_gap_minutes,median_gap_hours,max_gap_hours,median_spread,max_spread,median_spread_bps,p95_spread_bps,max_spread_bps
XAUUSD_DUKAS,H4,session,34721,2005-01-02 20:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,1130,1115,15,240.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0
BTCUSDT_BINANCE,H4,24x7,18992,2017-08-17 04:00:00+00:00,2026-04-20 00:00:00+00:00,0,0,8,0,8,240.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0
