time,open,high,low,close,volume,spread,source,symbol,timeframe
2020-01-01 00:00:00+00:00,7170.0,7223.19,7149.14,7202.35,13469.0,669.0,mt5,BTCUSDc,H4
2020-01-01 04:00:00+00:00,7202.15,7210.25,7175.0,7186.71,12944.0,675.0,mt5,BTCUSDc,H4
2020-01-01 08:00:00+00:00,7186.84,7215.6,7158.33,7176.75,13296.0,732.0,mt5,BTCUSDc,H4
2020-01-01 12:00:00+00:00,7177.03,7237.78,7176.37,7213.63,13334.0,760.0,mt5,BTCUSDc,H4
2020-01-01 16:00:00+00:00,7213.46,7232.98,7198.9,7212.44,13165.0,799.0,mt5,BTCUSDc,H4
2020-01-01 20:00:00+00:00,7212.47,7226.63,7144.28,7178.98,13297.0,754.0,mt5,BTCUSDc,H4
2020-01-02 00:00:00+00:00,7179.0,7187.27,7078.68,7096.61,13361.0,765.0,mt5,BTCUSDc,H4
2020-01-02 04:00:00+00:00,7096.58,7129.67,7066.25,7072.54,13457.0,771.0,mt5,BTCUSDc,H4
2020-01-02 08:00:00+00:00,7072.42,7156.85,7072.28,7117.26,13337.0,849.0,mt5,BTCUSDc,H4
2020-01-02 12:00:00+00:00,7115.47,7141.79,7075.93,7112.82,13557.0,863.0,mt5,BTCUSDc,H4
2020-01-02 16:00:00+00:00,7112.6,7126.75,6900.59,6962.57,14124.0,611.0,mt5,BTCUSDc,H4
2020-01-02 20:00:00+00:00,6963.38,6971.32,6909.89,6948.27,13543.0,820.0,mt5,BTCUSDc,H4
2020-01-03 00:00:00+00:00,6948.31,6950.62,6850.08,6940.91,13711.0,789.0,mt5,BTCUSDc,H4
2020-01-03 04:00:00+00:00,6941.11,7273.73,6937.53,7189.54,14273.0,943.0,mt5,BTCUSDc,H4
2020-01-03 08:00:00+00:00,7188.43,7361.64,7183.59,7329.74,13967.0,873.0,mt5,BTCUSDc,H4
2020-01-03 12:00:00+00:00,7328.13,7368.29,7229.52,7312.09,13719.0,804.0,mt5,BTCUSDc,H4
2020-01-03 16:00:00+00:00,7312.5,7401.21,7273.96,7332.66,13918.0,728.0,mt5,BTCUSDc,H4
2020-01-03 20:00:00+00:00,7333.67,7354.5,7252.77,7335.89,13665.0,728.0,mt5,BTCUSDc,H4
2020-01-04 00:00:00+00:00,7336.26,7343.39,7281.19,7330.88,13274.0,734.0,mt5,BTCUSDc,H4
2020-01-04 04:00:00+00:00,7330.86,7363.2,7305.5,7344.31,13175.0,761.0,mt5,BTCUSDc,H4
2020-01-04 08:00:00+00:00,7344.27,7365.0,7286.47,7331.52,13300.0,709.0,mt5,BTCUSDc,H4
2020-01-04 12:00:00+00:00,7331.56,7333.69,7282.43,7312.19,13418.0,774.0,mt5,BTCUSDc,H4
2020-01-04 16:00:00+00:00,7312.19,7392.38,7264.1,7318.59,13662.0,884.0,mt5,BTCUSDc,H4
2020-01-04 20:00:00+00:00,7319.0,7354.44,7300.1,7343.15,13221.0,862.0,mt5,BTCUSDc,H4
2020-01-05 00:00:00+00:00,7342.99,7478.44,7341.39,7467.27,13853.0,845.0,mt5,BTCUSDc,H4
2020-01-05 04:00:00+00:00,7467.46,7485.26,7432.87,7455.04,13573.0,967.0,mt5,BTCUSDc,H4
2020-01-05 08:00:00+00:00,7455.06,7467.25,7392.15,7416.7,13424.0,929.0,mt5,BTCUSDc,H4
2020-01-05 12:00:00+00:00,7416.89,7461.19,7407.77,7452.56,13421.0,836.0,mt5,BTCUSDc,H4
2020-01-05 16:00:00+00:00,7452.64,7470.11,7412.68,7428.72,13408.0,845.0,mt5,BTCUSDc,H4
2020-01-05 20:00:00+00:00,7428.86,7429.43,7306.86,7350.96,13408.0,617.0,mt5,BTCUSDc,H4
2020-01-06 00:00:00+00:00,7351.0,7557.89,7340.7,7523.27,13877.0,635.0,mt5,BTCUSDc,H4
2020-01-06 04:00:00+00:00,7522.81,7535.5,7485.3,7493.0,13287.0,565.0,mt5,BTCUSDc,H4
2020-01-06 08:00:00+00:00,7493.16,7559.37,7491.48,7527.38,13469.0,590.0,mt5,BTCUSDc,H4
2020-01-06 12:00:00+00:00,7527.05,7594.44,7484.38,7505.86,13590.0,587.0,mt5,BTCUSDc,H4
2020-01-06 16:00:00+00:00,7504.22,7541.84,7493.19,7526.73,13398.0,538.0,mt5,BTCUSDc,H4
2020-01-06 20:00:00+00:00,7526.52,7788.99,7519.57,7748.85,13753.0,585.0,mt5,BTCUSDc,H4
2020-01-07 00:00:00+00:00,7749.01,7980.01,7749.01,7890.87,14098.0,798.0,mt5,BTCUSDc,H4
2020-01-07 04:00:00+00:00,7890.85,7901.63,7817.96,7871.08,13706.0,787.0,mt5,BTCUSDc,H4
